T1,V1,W1
1485163800,232.943008,234.9639935
1485167400,234.3681577,236.018645
1485171000,237.6796217,239.7801262
1485174600,234.6408995,237.3192316
1485178200,238.9758078,242.0029519
1485181800,234.7119655,237.9018139
1485185400,229.8338931,233.8584089
1485189000,235.6163128,238.322574
1485192600,239.4947051,241.9706176
1485196200,241.1260445,244.0486674
1485199800,241.587538,244.7626998
1485203400,241.6981122,244.9763589
1485207000,242.9166124,246.1200735
1485210600,239.2576884,242.3115721
1485214200,235.7346877,238.3899854
1485217800,233.0133776,235.2432505
1485221400,233.4389772,235.5185777
1485225000,237.3629745,238.5736451
1485228600,229.554509,231.3000315
1485232200,228.0287082,229.6403268
1485235800,230.5458166,233.6219043
1485239400,235.3860889,237.2176585
1485243000,241.4331408,243.5233062
1485246600,235.1353158,237.5880053
1485250200,233.344468,235.7452406
1485253800,234.7207879,237.0943393
1485257400,238.3761638,240.6611046
1485261000,237.2441658,240.0282017
1485264600,238.8716967,241.8933984
1485268200,240.8133178,243.9016828
1485271800,240.6414277,243.8800443
1485275400,232.9167294,235.3184604
1485279000,233.8981754,236.301126
1485282600,236.2867906,238.8118041
1485286200,237.7357075,240.7564106
1485289800,238.7309216,241.5910969
1485293400,240.4113172,243.3713949
1485297000,240.1597557,242.9360229
1485779400,230.4908226,233.1262328
1485783000,234.9264105,237.1640927
1485786600,238.1190683,240.8866622
1485790200,238.5358101,242.7692546
1485793800,240.7449644,243.3928032
1485797400,234.9839805,237.8102589
1485801000,235.9223859,239.0579336
1485804600,237.6562611,240.8367972
1485808200,239.4097029,242.6610934
1485811800,240.4619198,243.5795347
1485815400,241.7572681,244.7735895
1485819000,239.5798382,242.3412961
1485822600,234.8603456,236.7029414
1485826200,233.5187657,235.386422
1485829800,230.6292962,231.8851121
1485833400,229.0358499,231.3906699
1485837000,230.8297952,233.0962641
1485840600,229.6621286,231.3796909
1485844200,231.4353558,232.5960191
1485847800,236.5288267,239.7813242
1485851400,232.676797,235.3837855
1485855000,232.6592401,235.2704185
1485858600,234.9469673,237.1509487
1485862200,237.8358397,239.3219716
1485865800,236.6141096,239.0519867
1485869400,237.238665,239.7891174
1485873000,240.7936566,243.959997
1485876600,238.4631523,241.6730825
1485880200,239.1119665,242.1304569
1485883800,240.7643784,243.6357847
1485887400,241.3707675,244.4570645
1485891000,240.3874028,243.3741343
1485894600,240.6781119,244.0553543
1485898200,241.8093716,245.2353589
1485901800,241.6624158,244.8299924
1485905400,240.1238381,242.9269113
1485909000,237.8233445,239.772689
1485912600,233.4817483,235.2460871
1485916200,229.5815048,232.0749199
1485919800,228.5198187,229.9004733
1485923400,228.2225327,230.5795259
